title,price,link,description
Core RD Knitting Co jeans,2199,https://jus.se/collections/all-menswear/products/core-rd-knitting-co-jeans,"Jeans featuring a classic straight let with a regular fit. 
A casual fit with a tapered leg from the knee and down. Two front pockets and back patch pockets. Belt loops. Front zip and button closure.
99% Cotton 1% ElastaneMade in Sweden"
Ewa Larsson kimono,13799,https://jus.se/collections/all-menswear/products/ewa-larsson-kimono-1,"Handcrafted Silk Kimono
Each Garment tells its own story and is one of a kind. Vintage silk scarfs found all over the world are carefully chosen and sewn together in an atelier in Stockholm to create a vibrant patchwork for each unique, eclectic piece.
As the garments are crafted of vintage materials no item is the other one alike and colour variations will occur.
One Size"
Lauseger shirt,3899,https://jus.se/collections/all-menswear/products/lauseger-shirt-6,"The shirts comes in two different sizes S/M and L/XL and are meant to be loose and boxy fitting. Regular cuffs and collars on all the models. Front button closure.
All models are made in limited quantities varying from 3-20 depending on how much material was able to be sourced  
63% Cotton 37% Polyester"
Lauseger shirt,3899,https://jus.se/collections/all-menswear/products/lauseger-shirt-copy-1,"The shirts comes in two different sizes S/M and L/XL and are meant to be loose and boxy fitting. Regular cuffs and collars on all the models. Front button closure.
All models are made in limited quantities varying from 3-20 depending on how much material was able to be sourced  
100% Polyester"
Lauseger shirt,3899,https://jus.se/collections/all-menswear/products/lauseger-shirt-copy,"The shirts comes in two different sizes S/M and L/XL and are meant to be loose and boxy fitting. Regular cuffs and collars on all the models. Front button closure.
All models are made in limited quantities varying from 3-20 depending on how much material was able to be sourced  
100% Polyester"
Lauseger shirt,3899,https://jus.se/collections/all-menswear/products/lauseger-shirt-5,"The shirts comes in two different sizes S/M and L/XL and are meant to be loose and boxy fitting. Regular cuffs and collars on all the models. Front button closure.
All models are made in limited quantities varying from 3-20 depending on how much material was able to be sourced 
55% Polyamide, 45% Polyester"
Core RD Knitting Co necklace,10399,https://jus.se/collections/all-menswear/products/core-rd-knitting-co-bracelet-copy,"Core RD Knitting Co Anchor chain necklace with a Core tag
Lenght: 60 cm 925 Sterling silver 100% Silver Made in Sweden"
Core RD Knitting Co bracelet,7299,https://jus.se/collections/all-menswear/products/core-rd-knitting-co-blazer-copy,"Core RD Knitting Co Anchor chain bracelet with a Core tag. 
Length: 24 cm 925 Sterling silver 100% Silver Made in Sweden"
James Perse linen shirt,2799,https://jus.se/collections/all-menswear/products/james-perse-linen-shirt,"James Perse Linen shirt is made in a lightweight linen that is breathable and soft. Featuring a shirt collar, button front closure, full length sleeves with placket at cuffs, back yoke, chest pocket, shirttail hem. Garment dyed. Relaxed fit.
100% Linen"
Maison Margiela shirt,5799,https://jus.se/collections/all-menswear/products/maison-margiela-shirt-2,"Maison Margiela Washed out black shirt. Featuring and oversized fit with one front patch pocket.
100% CottonMade in Italy"
Stockholm (Surfboard) Club t-shirt,999,https://jus.se/collections/all-menswear/products/stockholm-surfboard-club-cap-copy,"Stockholm (Surfboard) Club T-shirt, regular fit, ribbed collar and their signature logo on the back. 
100% Cotton Made in Portugal"
